Title,Price
"GeForce RTX 3060 VENTUS 2X 12GB PCI-E  w/ HDMI, Triple DP",$519.99
"GAMING X GeForce RTX 3060 Ti LHR 8GB PCI-E w/ HDMI, Triple DP",$649.99
"GeForce RTX 3070 VENTUS 3X OC LHR 8GB PCI-E  w/ HDMI, Triple DP",$729.99
"GeForce RTX 3080 Ti FTW3 ULTRA GAMING (LHR) 12GB PCI-E w/ HDMI, Triple DP","$1,349.99"
"GeForce RTX 3080 FTW3 ULTRA GAMING LHR 10GB PCI-E w/ Triple DP, HDMI","$1,039.99"
"GeForce RTX 3070 VENTUS 2X OC LHR 8GB PCI-E  w/ HDMI, Triple DP",$759.99
"GeForce RTX 3060 GAMING OC LHR 12GB PCI-E w/ Dual HDMI, Dual DP",$509.99
"DUAL RTX 2060 OC Edition EVO GeForce RTX 2060 6GB PCI-E w/ Dual HDMI, DP, DVI",$379.99
"TUF Gaming GeForce RTX 3080 Ti OC Edition (LHR) 12GB PCI-E w/ Dual HDMI, Triple DP","$1,284.99"
"GeForce RTX 3070 FTW3 ULTRA GAMING (LHR) 8GB PCI-E w/ HDMI, Triple DP",$809.99
"GeForce RTX 3090 Ti FTW3 ULTRA 24GB PCI-E w/ Triple DP, HDMI","$1,799.99"
"GeForce RTX 3070 Ti GAMING OC (LHR) 8GB PCI-E w/ Dual HDMI, Dual DP",$819.99
"GeForce RTX 3060 Ti VENTUS 3X OC LHR 8GB PCI-E  w/ HDMI, Triple DP",$699.99
"GeForce RTX 3070 Ti VISION OC 8GB PCI-E w/ Dual HDMI, Dual DP",$839.99
"GeForce RTX 3080 VISION OC Rev 2.0 (LHR) 10GB PCI-E w/ Dual HDMI, Triple DP","$1,019.99"
"GeForce RTX 3060 Ti GAMING OC Rev 2.0 (LHR) 8GB PCI-E w/ Dual HDMI, Dual DP",$579.99
"GeForce RTX 3080 Gaming OC 10GB (Rev 2.0) PCI-E w/ Dual HDMI, Triple DP",$949.99
"Dual GeForce RTX 3060 V2 OC Edition (LHR) 12GB PCI-E Video Card w/ HDMI, Triple DP",$539.99
"GeForce RTX 3060 VISION OC (LHR) 12GB PCI-E (Rev 2.0) w/ Dual HDMI, Dual DP",$509.99
"Radeon RX 6500 XT EAGLE  4GB  PCI-E w/ HDMI, DP",$274.99
"GeForce RTX 3070 GAMING OC (LHR) 8GB PCI-E w/ Dual HDMI, Dual DP",$699.99
"GeForce RTX 3060 GAMING X 12GB PCI-E w/ HDMI, Triple DP",$504.99
"GeForce RTX 3070 Ti FTW3 ULTRA GAMING (LHR) 8GB PCI-E w/ HDMI, Triple DP",$919.99
"GeForce RTX 3090 FTW3 ULTRA 24GB PCI-E w/ Triple DP, HDMI","$1,649.99"
"TUF Gaming GeForce RTX 3060 Ti V2 OC Edition (LHR) 8GB PCI-E w/ Dual HDMI, Triple DP",$724.99
"TUF Gaming GeForce RTX 3060 V2 OC Edition (LHR) 12GB PCI-E w/ Dual HDMI, Triple DP",$599.99
"GeForce RTX 3080 FTW3 ULTRA GAMING (LHR) 12GB PCI-E w/ Triple DP, HDMI","$1,099.99"
"Aorus GeForce RTX 3060 ELITE LHR 12GB PCI-E w/ Dual HDMI, Dual DP",$549.99
"GeForce RTX 3060 VENTUS 3X 12GB  PCI-E w/ HDMI, Triple DP",$539.99
"GeForce RTX 3080 Ti EAGLE OC (LHR) 12GB PCI-E w/ Dual HDMI, Triple DP","$1,199.99"
"GeForce RTX 3080 Ventus 3X PLUS OC LHR 10GB PCI-E w/ HDMI, Triple DP","$1,049.99"
"ROG STRIX  GeForce RTX 3080 V2 White OC Edition LHR 10GB PCI-E w/ Dual HDMI, Triple DP","$1,209.99"
"TUF GAMING GeForce RTX 3080 LHR 10GB PCI-E w/ Triple DP, Dual HDMI","$1,119.99"
"GeForce RTX 3050 GAMING OC 8GB PCI-E w/ Dual HDMI, Dual DP",$424.99
