Brand,Title,Price
MSI,3060,$519.99
MSI,3060,$649.99
MSI,3060 Ti,$649.99
EVGA,3080,"$1,039.99"
EVGA,3080,"$1,349.99"
EVGA,3080 Ti,"$1,349.99"
MSI,3070,$729.99
MSI,3070,$759.99
EVGA,3090,"$1,799.99"
EVGA,3090 Ti,"$1,799.99"
EVGA,3070,$809.99
Asus,3080,"$1,284.99"
Asus,3080 Ti,"$1,284.99"
Gigabyte,3060,$509.99
Gigabyte,3070,$699.99
Gigabyte,3060,$579.99
Gigabyte,3060 Ti,$579.99
Gigabyte,3070,$839.99
Gigabyte,3070 Ti,$839.99
MSI,3060,$699.99
MSI,3060 Ti,$699.99
Asus,3060,$539.99
Gigabyte,3060,$509.99
MSI,3060,$504.99
Gigabyte,3070,$819.99
Gigabyte,3070 Ti,$819.99
EVGA,3070,$919.99
EVGA,3070 Ti,$919.99
Gigabyte,3080,$949.99
Gigabyte,3080,"$1,199.99"
Gigabyte,3080 Ti,"$1,199.99"
Gigabyte,3080,"$1,019.99"
MSI,3080,"$1,049.99"
Gigabyte,3060,$549.99
Asus,3080,"$1,209.99"
Asus,3060,$724.99
Asus,3060 Ti,$724.99
MSI,3060,$539.99
EVGA,3090,"$1,649.99"
Asus,3080,"$1,119.99"
